epoch,train_loss,train_loss_triplet,train_loss_delta,train_loss_retr,train_acc_retr1,train_triplet_acc,train_pos_sim_mean,val_loss,val_loss_triplet,val_loss_delta,val_loss_retr,val_acc_retr1,val_triplet_acc,val_pos_sim_mean,val_recall@1,val_recall@5,val_recall@1_freq<=$1,val_recall@1_freq<=$2,val_recall@1_freq<=$5,val_recall@1_freq<=$10,val_recall@1_freq<=$20,val_recall@1_freq<=$50,val_recall@1_freq<=$100,val_recall@1_freq<=$1000000,lr
0,,,,,,,,,,,,,,,,,,,,,,,,,
1,20.4561512700973,0.09138493450178255,0.33322430810620707,20.031542039686634,0.6154863911290323,0.5981602822580645,0.017329362508345155,2.520443856716156,0.1829449227079749,0.33245010673999786,2.005048856139183,0.6106492928229272,0.5887719132006168,0.015297479141736403,0.01898101898101898,0.0919080919080919,0.02697841726618705,0.010101010101010102,0.0,0.022727272727272728,0.011494252873563218,0.0,0.0,0.0,4e-05
2,17.568669811371834,0.06358990439724538,0.3224027793734304,17.182677122854418,0.6966985887096774,0.788054435483871,0.08350081816916505,1.883346065878868,0.09258537227287889,0.30944155901670456,1.4813191294670105,0.7552639078348875,0.8510861247777939,0.13053880678489804,0.1848151848151848,0.45454545454545453,0.1510791366906475,0.16161616161616163,0.1968503937007874,0.25,0.2988505747126437,0.21875,0.4166666666666667,0.0,8e-05
3,13.0361669371205,0.03549230939918949,0.30199831099279467,12.698676301587012,0.7904485887096774,0.9005796370967742,0.16896015297501318,1.5108327120542526,0.060757974395528436,0.2941564619541168,1.155918262898922,0.8069264460355043,0.9040586873888969,0.19855106994509697,0.25774225774225773,0.5884115884115884,0.22841726618705036,0.23232323232323232,0.29133858267716534,0.29545454545454547,0.3333333333333333,0.3125,0.5,0.0,0.00012
4,10.24274177705088,0.024602682645162268,0.2882349779528956,9.929904110970035,0.8422379032258065,0.9275453629032258,0.21828142505499623,1.3552122563123703,0.0518958184402436,0.28122549317777157,1.0220909416675568,0.828470366075635,0.9137052185833454,0.2236488787457347,0.29270729270729273,0.6493506493506493,0.2715827338129496,0.25252525252525254,0.31496062992125984,0.3522727272727273,0.3563218390804598,0.28125,0.5,0.0,0.00016
5,8.442918273710436,0.01902995945044583,0.2798726520230693,8.144015685204536,0.8755040322580645,0.9427923387096774,0.2462134464613853,1.2620427906513214,0.04868877795524895,0.2736767251044512,0.9396772980690002,0.837747709825635,0.9068692810833454,0.24891010019928217,0.32667332667332666,0.6793206793206793,0.30755395683453235,0.3333333333333333,0.36220472440944884,0.36363636363636365,0.3448275862068966,0.28125,0.5,0.0,0.0002
6,7.1697830384777435,0.015345852393957396,0.2770562294510103,6.877380940221971,0.9012726814516129,0.9523689516129032,0.26648704575434806,1.2169902250170708,0.04334164853207767,0.2796492502093315,0.8939993269741535,0.8452862966805696,0.9230421110987663,0.2540266206488013,0.34165834165834164,0.7042957042957043,0.33093525179856115,0.32323232323232326,0.36220472440944884,0.3977272727272727,0.3563218390804598,0.28125,0.4166666666666667,0.0,0.00019998708738465178
7,6.167650057423499,0.012158835107731003,0.2802106098782632,5.8752805994402975,0.917023689516129,0.9624495967741935,0.2839624506811942,1.1895623281598091,0.03994998848065734,0.2813549228012562,0.8682574294507504,0.8487638123333454,0.9358565136790276,0.2599219586700201,0.35664335664335667,0.7182817182817183,0.3597122302158273,0.3434343434343434,0.3858267716535433,0.3522727272727273,0.3333333333333333,0.25,0.5,0.0,0.00019994835289007722
8,5.442712891486384,0.010522219215354492,0.27993310074652394,5.152257577065499,0.9337827620967742,0.9678679435483871,0.29596344453673207,1.1645739823579788,0.041130803525447845,0.2840087413787842,0.8394344337284565,0.8522413279861212,0.9344512186944485,0.2650347948074341,0.36163836163836166,0.7202797202797203,0.3435251798561151,0.36363636363636365,0.4094488188976378,0.38636363636363635,0.39080459770114945,0.28125,0.5,0.0,0.0001998838065698165
9,4.888071679299878,0.009383428863422465,0.280377333443011,4.598310920499986,0.9437373991935484,0.9707661290322581,0.3055451036460938,1.1623459532856941,0.04071177798323333,0.28579937294125557,0.835834801197052,0.8539205379784107,0.9295684061944485,0.2668049056082964,0.3776223776223776,0.7182817182817183,0.3669064748201439,0.35353535353535354,0.41732283464566927,0.4318181818181818,0.3563218390804598,0.34375,0.5,0.0,0.00019979346517687085
